SectionName,SectionIndex,gbar_na12,gbar_na16,gbar_na12mut,gbar_na16mut,gbar_Ih
cADpyr232_L5_TTPC1_0fb1ca4724[0].soma[0],0,0.12846366720000002,0.043270656000000005,0.12846366720000002,0.043270656000000005,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[0],1,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[1],2,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[2],3,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[3],4,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[4],5,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[5],6,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[6],7,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[7],8,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[8],9,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[9],10,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[10],11,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[11],12,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[12],13,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[13],14,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[14],15,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[15],16,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[16],17,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[17],18,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[18],19,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[19],20,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[20],21,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[21],22,N/A,N/A,N/A,N/A,8e-05
cADpyr232_L5_TTPC1_0fb1ca4724[0].dend[22],23,N/A,N/A,N/A,N/A,8e-05
