Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
100:0,-18.0324827915265,6.599999999999625,-15.561988517053996,0.7299800463740705,8,214.95714285707547,16.062828979871213,-23.046415861822254,16.285629261002654,-22.95899413530968,-36.91224373387677,-36.91224373387677,8,0,0
90:10,9.834968169711198,6.500000000001478,9.464280249844556,1.2002718669181835,10,136.18888888881122,193.5402067744885,-28.410953728296494,189.36493126418557,-19.91960632834844,-41.57273179875304,-41.57273179875304,13,0,0
80:20,7.029886594352978,4.100000000000932,6.3442062704401065,1.3579899902031252,15,92.89285714280923,185.89881156087063,-29.07173866611449,139.7108796438502,-7.080106211725619,-42.04989773762567,-42.04989773762567,15,0,0
70:30,4.764287606849111,3.400000000000773,3.1098830759891047,1.45043799808935,20,74.61052631575524,180.20385118117625,-30.062172312106675,181.19974668517784,-29.59739412049384,-42.8643229466449,-42.8643229466449,20,0,0
60:40,3.0879334880439493,2.799999999999841,4.797274506799121,1.401390245488742,26,65.16399999997617,176.12300218979442,-30.71686791084195,176.5175440743814,-30.410981982779667,-43.9522492094694,-43.9522492094694,26,0,0
50:50,2.014238476426565,2.799999999999841,4.428018715724744,1.3633365924428096,30,55.81724137929032,170.22522195286774,-31.496060420545984,170.3626618878143,-31.504569188355457,-44.89043540340734,-44.89043540340734,30,0,0
40:60,1.3621500468356211,2.6999999999998465,4.19896751093801,1.3290955405867335,34,49.875757575739314,161.28024219384648,-32.403228449346486,161.06381642189794,-32.10797256624684,-45.640285447870426,-45.640285447870426,34,0,0
30:70,1.2720299876895709,2.6999999999998465,5.261831725678088,1.2716956082009334,37,45.63055555553896,148.76127975817752,-33.55748374055419,118.47246549811317,-13.656955149584576,-46.23019469289204,-46.23019469289204,37,0,0
20:80,1.6321802015718276,2.999999999999829,6.635240428046181,1.2176708906368734,40,42.20256410254875,133.082557570944,-35.63301126779612,122.6579263561991,-12.689052011583051,-46.68618484955893,-46.68618484955893,40,0,0
10:90,1.8420872958356576,3.3999999999998067,7.887445044597767,1.1633935032023544,44,38.93023255812505,118.1479913122466,-38.04153013932132,121.65911359450288,-12.20496539184166,-47.00040783735668,-47.00040783735668,44,0,0
0:100,-0.2965859391941909,5.299999999999699,11.021919674074416,1.025488412765765,50,33.86938775508962,104.1633442402194,-39.29412002882984,98.0742518555271,-14.480856431250482,-46.86610304581254,-46.86610304581254,50,0,0
