Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
90:10,4.524458504641524,4.200000000000955,4.596555953198156,0.5741038809911188,2,683.9999999996608,153.8364722070371,-10.66404215602687,153.8364722070371,-10.66404215602687,-39.57163513347735,-39.57163513347735,4,0,0
80:20,3.4387108244004403,3.700000000000841,2.956447483615938,0.6035598832141748,3,489.6499999998544,148.08288360554175,-13.484221785429604,148.66350833765924,-12.989611989272758,-40.09280256729991,-40.09280256729991,6,0,0
70:30,4.83963463653144,2.599999999999852,7.873419822873021,0.6628043552567703,5,372.6499999998821,149.16148589807284,-14.85334280100072,150.87447317160408,-14.865418280273808,-41.24995368006415,-41.24995368006415,14,0,0
60:40,6.710789770049953,4.8999999999997215,10.736361480576482,1.0872771069083005,18,93.07058823526192,165.01343814222017,-13.836395762670849,85.10928646702389,-17.902514002733387,-43.339956278374,-43.339956278374,27,0,0
50:50,7.134204524734574,3.599999999999796,11.7368668375502,1.0949718159019135,37,46.35555555553825,168.9025557224541,-13.812898466271376,175.51105162849208,-13.712687172683566,-44.93431503343563,-44.93431503343563,37,0,0
40:60,7.24238187861052,3.099999999999824,10.950710958459169,1.1273620624329486,40,42.29743589742044,183.2191860003608,-13.015691691764545,176.00130322902672,-13.632827382857274,-46.08405474097152,-46.08405474097152,40,0,0
30:70,7.60835462944432,2.899999999999835,11.324995176786963,1.1326526619296076,42,40.30243902437552,191.83014130757704,-10.813775180925017,183.24506985724616,-12.127459924550145,-46.9101301073836,-46.9101301073836,42,0,0
20:80,8.493104897759405,2.899999999999835,12.28468517359562,1.1305008502132805,43,39.3714285714142,187.11800390230596,-29.60642241067703,194.83294883214768,-9.572476300768251,-47.57112634323221,-47.57112634323221,43,0,0
10:90,10.161879276776286,2.899999999999835,14.185598840112217,1.1134307433988846,43,39.12142857141446,194.89833549431737,-31.802991391478532,213.32977633074944,-7.926928878851724,-48.125104780378,-48.125104780378,43,0,0
0:100,12.519503828910576,2.899999999999835,16.713097589031552,1.0889574815179512,43,39.27619047617624,202.34723997246567,-32.878491135411714,239.989452952684,-5.354821464406996,-48.6041469943995,-48.6041469943995,43,0,0

