,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,1
39,1
40,1
41,2
42,3
43,3
44,4
45,4
46,5
47,5
48,6
49,7
50,7
51,7
52,8
53,8
54,8
55,8
56,8
57,8
58,9
59,9
60,9
61,9
62,9
63,9
64,10
65,10
66,10
67,10
68,10
69,10
70,10
71,10
72,11
73,11
74,11
75,11
76,11
77,11
78,11
79,11
80,12
81,12
82,12
83,12
84,12
85,12
86,12
87,12
88,12
89,12
90,13
91,13
92,13
93,13
94,13
95,13
96,13
97,13
98,13
99,13
