,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,1
19,1
20,1
21,2
22,2
23,3
24,3
25,4
26,4
27,5
28,5
29,5
30,6
31,6
32,6
33,6
34,7
35,7
36,7
37,7
38,8
39,8
40,8
41,8
42,9
43,9
44,9
45,9
46,9
47,9
48,10
49,10
50,10
51,10
52,10
53,10
54,11
55,11
56,11
57,11
58,11
59,11
60,12
61,12
62,12
63,12
64,12
65,12
66,12
67,13
68,13
69,13
70,13
71,13
72,13
73,13
74,13
75,14
76,14
77,14
78,14
79,14
80,14
81,14
82,14
83,14
84,15
85,15
86,15
87,15
88,15
89,15
90,15
91,15
92,15
93,16
94,16
95,16
96,16
97,16
98,16
99,16
