Vm,na12.ina_ina,na12mut.ina_ina
-72.0,-1.4474069792175073e-09,-2.3031198846403989e-10
-72.00158931981248,-1.4474069792175073e-09,-2.3031198846403989e-10
-72.00297487032223,-1.4473122197434435e-09,-2.3029990786452076e-10
-72.00424824254947,-1.4471267629905369e-09,-2.3027552116780093e-10
-72.00544465217044,-1.4468674805433546e-09,-2.3024093552866312e-10
-72.00658022173698,-1.4465467011399007e-09,-2.3019768138509452e-10
-72.00766435079419,-1.4461743353443863e-09,-2.301469946730714e-10
-72.00870351507196,-1.4457586876747001e-09,-2.3008992159978593e-10
-72.00970257868394,-1.445306842188922e-09,-2.300273660667609e-10
-72.01066534920439,-1.444824896513954e-09,-2.2996011726690958e-10
-72.0115948719094,-1.4443181286240187e-09,-2.2988886884270492e-10
-72.01249361528856,-1.4437911256769737e-09,-2.298142334765322e-10
-72.01336360064269,-1.4432478874169282e-09,-2.2973675451069118e-10
-72.01420649775446,-1.4426919108288215e-09,-2.2965691542095678e-10
-72.015023697734,-1.4421262602884273e-09,-2.295751476518251e-10
-72.015816369555,-1.4415536261914877e-09,-2.2949183716334831e-10
-72.01658550448977,-1.440976374282027e-09,-2.2940732994587458e-10
-72.01733195133028,-1.44039658738771e-09,-2.293219366974477e-10
-72.01805644445992,-1.439816100905068e-09,-2.2923593681544215e-10
-72.01875962630226,-1.4392365331068452e-09,-2.2914958182242044e-10
-72.01944206530507,-1.4386593111372907e-09,-2.290630983223807e-10
-72.020104270357,-1.4380856934002973e-09,-2.2897669056517109e-10
-72.02074670234265,-1.4375167889178027e-09,-2.2889054268239623e-10
-72.02136978339765,-1.4369535741336447e-09,-2.2880482064663375e-10
-72.02197390431286,-1.4363969075554038e-09,-2.2871967399653713e-10
-72.02255943044922,-1.4358475425595331e-09,-2.2863523736291847e-10
-72.02312670645426,-1.4353061386302001e-09,-2.2855163182483868e-10
-72.02367606001532,-1.4347732712572482e-09,-2.2846896611978255e-10
-72.0242078048389,-1.434249440681792e-09,-2.2838733772795987e-10
-72.02472224300925,-1.433735079647563e-09,-2.283068338474695e-10
-72.02521966684934,-1.433230560291065e-09,-2.2822753227435608e-10
-72.02570036038378,-1.4327362002829144e-09,-2.2814950219937123e-10
-72.02616460048377,-1.4322522683155928e-09,-2.2807280493141732e-10
-72.0266126577585,-1.4317789890186344e-09,-2.27997494556153e-10
