Vm,na12.ina_ina,na12mut.ina_ina
-72.0,-1.4474069792175073e-09,-1.0636562742884832e-10
-72.00158932188411,-1.4474069792175073e-09,-1.0636562742884832e-10
-72.00297487406341,-1.4473122196199463e-09,-1.0636331103733829e-10
-72.00424824771022,-1.4471267626335108e-09,-1.063577869356183e-10
-72.0054446585888,-1.4468674798716744e-09,-1.0634950830138743e-10
-72.00658022929693,-1.4465467000919586e-09,-1.0633878564228876e-10
-72.00766435940635,-1.4461743338727064e-09,-1.0632586554995075e-10
-72.00870352466411,-1.4457586857426182e-09,-1.0631095834507761e-10
-72.00970258919585,-1.4453068397683218e-09,-1.0629424915317433e-10
-72.01066536058464,-1.4448248935836122e-09,-1.0627590358017401e-10
-72.01159488411335,-1.4443181251683396e-09,-1.0625607130323338e-10
-72.01249362827691,-1.443791121684988e-09,-1.0623488864715023e-10
-72.01336361438045,-1.443247882881488e-09,-1.0621248055410607e-10
-72.01420651221017,-1.4426919057459465e-09,-1.0618896213921948e-10
-72.0150237128792,-1.4421262546567635e-09,-1.0616443994238514e-10
-72.01581638536373,-1.4415536200118531e-09,-1.0613901294872192e-10
-72.01658552093826,-1.4409763675570373e-09,-1.0611277342872126e-10
-72.01733196839665,-1.4403965801214582e-09,-1.0608580763583392e-10
-72.01805646212391,-1.4398160931028542e-09,-1.0605819639017436e-10
-72.01875964454509,-1.4392365247749506e-09,-1.0603001557057958e-10
-72.01944208410924,-1.4386593022827828e-09,-1.0600133653250912e-10
-72.02010428970617,-1.438085684030865e-09,-1.0597222646567866e-10
-72.0207467222215,-1.437516779041618e-09,-1.0594274870254077e-10
-72.02136980379184,-1.4369535637592437e-09,-1.0591296298654164e-10
-72.02197392520888,-1.4363968966915821e-09,-1.0588292570735312e-10
-72.02255945183435,-1.4358475312152651e-09,-1.0585269010889074e-10
-72.0231267283165,-1.435306126814563e-09,-1.0582230647481605e-10
-72.0236760823433,-1.4347732589793617e-09,-1.0579182229532486e-10
-72.02420782762188,-1.434249427950766e-09,-1.0576128241829877e-10
-72.02472226623703,-1.4337350664724558e-09,-1.0573072918731447e-10
-72.02521969051227,-1.433230546680846e-09,-1.0570020256853218e-10
-72.02570038447267,-1.4327361862464334e-09,-1.0566974026810692e-10
-72.02616462498987,-1.432252253861557e-09,-1.0563937784145685e-10
-72.02661268267352,-1.4317789741555887e-09,-1.0560914879547668e-10
-72.027044822561,-1.431316532106721e-09,-1.0557908468458494e-10
-72.02746130464755,-1.4308650770096658e-09,-1.0554921520133135e-10
-72.02786238428983,-1.43042472605028e-09,-1.055195682621626e-10
-72.02824831251026,-1.4299955675312072e-09,-1.0549017008883842e-10
-72.02861933622346,-1.4295776637867767e-09,-1.0546104528590629e-10
-72.02897569840229,-1.4291710538204276e-09,-1.0543221691457543e-10
-72.02931763819734,-1.4287757556937594e-09,-1.0540370656327417e-10
-72.02964539102067,-1.428391768692694e-09,-1.0537553441513173e-10
-72.02995918860293,-1.4280190752932044e-09,-1.0534771931258925e-10
-72.03025925903079,-1.4276576429464226e-09,-1.0532027881931508e-10
-72.03054582676998,-1.4273074257006705e-09,-1.05293229279577e-10
-72.03081911267866,-1.4269683656760164e-09,-1.0526658587520419e-10
-72.03107933401425,-1.4266403944052358e-09,-1.0524036268025561e-10
-72.03132670443657,-1.426323434053598e-09,-1.0521457271350154e-10
-72.0315614340092,-1.4260173985285867e-09,-1.0518922798881033e-10
-72.0317837292008,-1.425722194489532e-09,-1.0516433956352879e-10
-72.03199379288723,-1.4254377222661326e-09,-1.0513991758493345e-10
-72.03219182435582,-1.4251638766939613e-09,-1.0511597133482777e-10
-72.03237801931185,-1.4249005478742636e-09,-1.0509250927235231e-10
-72.03255256988807,-1.4246476218646603e-09,-1.0506953907507359e-10
-72.03271566465729,-1.4244049813067566e-09,-1.0504706767841234e-10
-72.03286748864822,-1.424172505996096e-09,-1.0502510131346946e-10
-72.03300822336467,-1.423950073399402e-09,-1.0500364554330537e-10
-72.033138046808,-1.4237375591236172e-09,-1.0498270529772641e-10
-72.03325713350266,-1.4235348373408302e-09,-1.0496228490662986e-10
-72.03336565452486,-1.4233417811728425e-09,-1.0494238813195744e-10
-72.03346377753412,-1.42315826303879e-09,-1.049230181983052e-10
-72.03355166680751,-1.422984154968933e-09,-1.0490417782223695e-10
-72.03362948327631,-1.4228193288874724e-09,-1.0488586924034632e-10
-72.03369738456519,-1.422663656867019e-09,-1.0486809423611163e-10
-72.0337555250332,-1.422517011357083e-09,-1.0485085416558644e-10
-72.03380405581697,-1.4223792653887996e-09,-1.0483414998196682e-10
-72.0338431248754,-1.4222502927578909e-09,-1.0481798225907693e-10
