Vm,na12.ina_ina,na12mut.ina_ina
-72.0,-1.4474069792175073e-09,-9.898617063313919e-11
-72.00158932200745,-1.4474069792175073e-09,-9.898617063313919e-11
-72.00297487428631,-1.4473122196125935e-09,-9.898208384345774e-11
-72.00424824801799,-1.4471267626122455e-09,-9.897352231058052e-11
-72.00544465897202,-1.446867479831644e-09,-9.89611985158281e-11
-72.00658022974893,-1.4465467000294595e-09,-9.89456238957436e-11
-72.00766435992203,-1.4461743337848648e-09,-9.89272114421513e-11
-72.0087035252394,-1.4457586856271899e-09,-9.890631294349723e-11
-72.00970258982734,-1.4453068396235644e-09,-9.888323513679521e-11
-72.01066536126947,-1.4448248934081854e-09,-9.885824872512956e-11
-72.01159488484903,-1.444318124961229e-09,-9.883159446178208e-11
-72.01249362906127,-1.4437911214454527e-09,-9.880348770362534e-11
-72.01336361521152,-1.4432478826090106e-09,-9.877412199680313e-11
-72.01420651308622,-1.4426919054401982e-09,-9.874367197648293e-11
-72.01502371379864,-1.442126254317569e-09,-9.87122957502539e-11
-72.01581638632513,-1.4415536196391688e-09,-9.868013687987861e-11
-72.01658552194029,-1.4409763671509268e-09,-9.864732604431182e-11
-72.01733196943806,-1.4403965796820756e-09,-9.861398244630979e-11
-72.01805646320358,-1.4398160926304274e-09,-9.858021501068855e-11
-72.01875964566193,-1.4392365242697695e-09,-9.854612341196367e-11
-72.01944208526227,-1.4386593017451886e-09,-9.85117989613878e-11
-72.02010429089442,-1.4380856834612408e-09,-9.847732537748989e-11
-72.02074672344412,-1.4375167784403792e-09,-9.844277945960472e-11
-72.02136980504795,-1.4369535631268327e-09,-9.840823168023044e-11
-72.02197392649771,-1.4363968960284614e-09,-9.83737467091298e-11
-72.02255945315514,-1.4358475305219135e-09,-9.83393838797443e-11
-72.0231267296685,-1.4353061260914697e-09,-9.830519760659021e-11
-72.02367608372583,-1.4347732582270236e-09,-9.827123776076903e-11
-72.02420782903428,-1.4342494271696851e-09,-9.823755000947552e-11
-72.02472226767867,-1.4337350656631363e-09,-9.82041761243716e-11
-72.02521969198253,-1.4332305458437927e-09,-9.817115426286859e-11
-72.02570038597096,-1.432736185382148e-09,-9.813851922568779e-11
-72.02616462651565,-1.4322522529705383e-09,-9.8106302693519e-11
-72.02661268422622,-1.4317789732383291e-09,-9.807453344515058e-11
-72.02704482414012,-1.4313165311637077e-09,-9.804323755907411e-11
-72.02746130625258,-1.4308650760413804e-09,-9.801243860026962e-11
-72.02786238592029,-1.4304247250571937e-09,-9.798215779362615e-11
-72.02824831416567,-1.4299955665137848e-09,-9.79524141852508e-11
-72.02861933790335,-1.429577662745474e-09,-9.792322479274955e-11
-72.02897570010626,-1.429171052755692e-09,-9.789460474542295e-11
-72.02931763992494,-1.4287757546060266e-09,-9.786656741520283e-11
-72.02964539277149,-1.4283917675823915e-09,-9.783912453905942e-11
-72.02995919037657,-1.4280190741607497e-09,-9.781228633352457e-11
-72.03025926082687,-1.4276576417922237e-09,-9.778606160190835e-11
-72.03054582858813,-1.4273074245251265e-09,-9.776045783472622e-11
-72.03081911451851,-1.4269683644795143e-09,-9.773548130380498e-11
-72.03107933587545,-1.4266403931881551e-09,-9.771113715049053e-11
-72.03132670631877,-1.4263234328163075e-09,-9.768742946834432e-11
-72.03156143591208,-1.4260173972714461e-09,-9.766436138068199e-11
-72.03178373112402,-1.4257221932128908e-09,-9.764193511327936e-11
-72.0319937948305,-1.4254377209703318e-09,-9.762015206254556e-11
-72.03219182631882,-1.425163875379332e-09,-9.759901285944118e-11
-72.03237802129429,-1.4249005465411278e-09,-9.757851742939855e-11
-72.03255257188967,-1.4246476205133317e-09,-9.755866504848435e-11
-72.03271566667776,-1.4244049799375409e-09,-9.753945439602802e-11
-72.0328674906873,-1.4241725046092895e-09,-9.752088360392519e-11
-72.03300822542211,-1.423950071995294e-09,-9.75029503028114e-11
-72.03313804888353,-1.423737557702487e-09,-9.748565166529027e-11
-72.03325713559602,-1.4235348359029488e-09,-9.746898444638753e-11
-72.03336565663581,-1.423341779718476e-09,-9.745294502139415e-11
-72.03346377966244,-1.4231582615681957e-09,-9.743752942124954e-11
-72.03355166895295,-1.4229841534823597e-09,-9.742273336560955e-11
-72.03362948543868,-1.4228193273851642e-09,-9.740855229373368e-11
-72.03369738674425,-1.4226636553492116e-09,-9.739498139331937e-11
-72.03375552722875,-1.4225170098240056e-09,-9.738201562740377e-11
-72.0338040580288,-1.4223792638406747e-09,-9.736964975944598e-11
-72.03384312710332,-1.4222502911949352e-09,-9.735787837669719e-11
-72.03387287927973,-1.42212996661013e-09,-9.734669591196005e-11
-72.03389345630157,-1.422018165882053e-09,-9.73360966638323e-11
-72.03390499687728,-1.4219147660070946e-09,-9.732607481552525e-11
-72.03390763672982,-1.4218196452951452e-09,-9.731662445234176e-11
-72.03390150864723,-1.421732683468566e-09,-9.730773957789485e-11
-72.0338867425338,-1.4216537617484348e-09,-9.729941412914233e-11
-72.0338634654617,-1.4215827629291608e-09,-9.729164199030946e-11
-72.03383180172318,-1.4215195714425048e-09,-9.728441700576719e-11
-72.03379187288272,-1.4214640734119253e-09,-9.72777329919301e-11
-72.03374379782966,-1.421416156698118e-09,-9.727158374823457e-11
-72.03368769283063,-1.4213757109365333e-09,-9.726596306725359e-11
-72.033623671582,-1.4213426275676033e-09,-9.726086474400286e-11
-72.03355184526228,-1.4213167998603475e-09,-9.725628258448823e-11
-72.03347232258403,-1.4212981229299616e-09,-9.725221041354266e-11
-72.03338520984578,-1.4212864937499698e-09,-9.724864208199799e-11
-72.0332906109833,-1.4212818111594467e-09,-9.724557147323384e-11
-72.03318862762066,-1.4212839758657857e-09,-9.724299250914439e-11
-72.03307935912063,-1.4212928904434617e-09,-9.724089915555972e-11
-72.03296290263462,-1.421308459329183e-09,-9.723928542715925e-11
-72.03283935315201,-1.4213305888138032e-09,-9.723814539190878e-11
-72.03270880354886,-1.4213591870313318e-09,-9.72374731750547e-11
-72.03257134463598,-1.4213941639453576e-09,-9.723726296270399e-11
-72.03242706520629,-1.4214354313331655e-09,-9.723750900501846e-11
-72.03227605208144,-1.4214829027678146e-09,-9.723820561904974e-11
-72.03211839015773,-1.4215364935984113e-09,-9.723934719123995e-11
-72.0319541624513,-1.4215961209288004e-09,-9.7240928179611e-11
-72.0317834501424,-1.4216617035948748e-09,-9.724294311566491e-11
-72.03160633261906,-1.4217331621406897e-09,-9.724538660601586e-11
-72.03142288751987,-1.4218104187935458e-09,-9.724825333377315e-11
-72.03123319077588,-1.4218933974381952e-09,-9.725153805969328e-11
-72.03103731665186,-1.4219820235903146e-09,-9.725523562311851e-11
-72.0308353377866,-1.4220762243693688e-09,-9.72593409427179e-11
-72.03062732523244,-1.4221759284709817e-09,-9.72638490170458e-11
-72.03041334849402,-1.422281066138922e-09,-9.72687549249319e-11
