,Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,ais spikecount,nex spikecount,disdend spikecount
0,WT,35.89793959668085,0.39999999999997726,36.82494008341717,1.1264602276039914,22,77.73809523806725,369.5434716831958,-33.094504716103884,593.5712331830758,10.277245244008638,-53.10734930369114,22,0,0
1,mut1_1,33.77142320782572,0.4999999999999716,34.32145442912713,1.168040440782002,22,77.3428571428295,340.16819077840273,-33.63826571116309,514.5492175538787,6.213732027235659,-53.09882435840489,22,0,0
2,mut1_2,35.19290214445246,0.4999999999999716,35.44445130225651,1.1187863868986763,22,78.63333333330452,360.8982116318213,-33.326591093758445,569.2284391130589,8.190568411975415,-53.12585881137683,22,0,0
3,mut1_3,36.736744323612236,0.39999999999997726,37.00356307692906,1.0813518751973483,23,75.78636363633548,421.4076981600712,-34.83599971787514,717.1258150598044,10.524869845319607,-53.100533522210775,23,0,0
4,mut1_4,38.42643289479729,0.6999999999999602,39.00903697131468,1.6569169108384836,20,85.78421052628497,384.0286840317411,-33.47173612670131,646.402687816148,12.432648992993531,-53.10032705656327,20,0,0
5,mut2_1,34.19837953493189,0.39999999999997726,37.547143661568946,1.043766530842328,22,76.11904761902112,607.5472810679678,8.834181797034972,607.5472810679678,8.834181797034972,-53.14298900847604,22,0,0
6,mut2_2,35.33951894350884,0.39999999999997726,36.48854624841721,1.0962323841557247,22,76.39523809521133,374.54268482321777,-33.15356179896977,603.0665207236135,8.301412087295159,-53.10420691806253,22,0,0
7,mut2_3,35.429909541242274,0.4999999999999716,37.162463474442184,1.1600085395979243,22,76.65714285711584,355.75060801994135,-32.593710117536276,553.9533001090268,10.588796792938643,-53.096260239313416,22,0,0
8,mut2_4,35.386633553961424,0.4999999999999716,36.22970083260029,1.1006666478283307,23,75.84090909088087,362.44072372177703,-32.472656783565256,549.9914972965781,10.859706136716548,-53.09514604581082,23,0,0
9,mut3_1,36.03048259624858,0.4999999999999716,35.02271355858299,1.1603464608276077,22,77.40952380949612,367.20603604605344,-32.49918580231789,588.7929291205693,10.88695004457249,-53.1052175218354,22,0,0
10,mut3_2,34.234270381958474,0.39999999999997726,37.4229580940385,1.0688142663409708,22,77.223809523782,369.1792930087178,-33.84388053530988,588.5293964331593,8.795376494736114,-53.10645861389801,22,0,0
11,mut3_3,36.3760842688889,0.6999999999999602,37.61800955102412,1.7108375403775096,19,90.03888888885682,341.1365061439824,-33.37671583449637,522.2481138670479,6.883858153115064,-53.1108431115808,19,0,0
12,mut3_4,36.08779186918486,0.4999999999999716,37.94628799481927,1.1779703077831123,20,86.0526315789163,360.525477785713,-33.08526869136808,561.4643250027468,10.452068309932374,-53.11774735955469,20,0,0
13,mut4_1,31.95084555271444,0.4999999999999716,32.885753807684935,1.2626212919743063,21,80.0099999999721,338.0351843380033,-34.44913933878853,498.5465908439943,6.524074073136775,-53.161898023056594,21,0,0
14,mut4_2,34.55955160394911,0.39999999999997726,35.34156093156286,1.1165226886361324,23,75.9681818181535,366.932435447562,-33.85670809353112,576.9448855803511,8.063143065574472,-53.103305714753944,23,0,0
15,mut4_3,35.86723445597307,0.39999999999997726,38.04683289526824,1.0761199183074384,21,83.07499999996928,389.6879898882048,-34.358115549647614,633.297917414279,11.365351541943946,-53.10787754438776,21,0,0
