,Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,ais spikecount,nex spikecount,disdend spikecount
0,WT,35.732495059116204,0.4999999999999716,37.21767354982258,1.1076774278313195,35,49.085294117629154,370.45168682565543,-32.245369379036475,595.3354071435383,8.84793802846984,-53.060958446722005,35,0,0
1,mut1_1,33.60197479512791,0.39999999999997726,35.02365904122592,1.146470189712214,35,48.71764705880596,341.40613570158786,-33.69384170787966,516.9860454724461,6.3526681646263565,-53.04835301463188,35,0,0
2,mut1_2,35.2361924995032,0.4999999999999716,36.01915491741675,1.0923773955245468,34,49.86060606058826,361.7706678060085,-32.53625722442971,571.2565139183214,9.611322106703877,-53.07709439826079,34,0,0
3,mut1_3,36.59961628315036,0.4999999999999716,37.12174029347191,1.0715195235630373,36,47.40857142855428,717.7424032180602,9.54379757862838,717.7424032180602,9.54379757862838,-53.019976091378,36,0,0
4,mut1_4,38.21777463294815,0.7999999999999545,40.688695902864914,1.6413400554948026,31,55.243333333313394,379.1475316059373,-32.76787328292306,636.0958135901986,12.837271436529873,-53.126363328345114,31,0,0
5,mut2_1,33.09550124739529,0.39999999999997726,37.754300181917586,1.0236767664348447,36,47.799999999982504,377.9249695444573,-32.31402562639463,583.2777743811904,6.4017218110983585,-53.05263492574,36,0,0
6,mut2_2,35.65636706290985,0.4999999999999716,36.96493138535377,1.0760874586560931,36,47.97142857141091,375.2609557711782,-32.89594411158263,605.3772238747159,8.863961500471628,-53.03739667519732,36,0,0
7,mut2_3,34.98944741929365,0.4999999999999716,38.29568816321636,1.1394222130420737,36,47.985714285696616,353.7471283096334,-32.56561911429682,549.3951454587365,10.290066883054626,-53.02920123012937,36,0,0
8,mut2_4,35.72787662081109,0.39999999999997726,37.36000163302987,1.0752003379205415,36,47.44285714283997,363.7409572760177,-32.420530362282776,552.4037823924042,11.206241500693203,-53.018391425125145,36,0,0
9,mut3_1,35.9466015859629,0.4999999999999716,37.655358943384584,1.114530633536342,35,48.76176470586474,367.51927573719917,-33.42640687443032,591.242071397989,9.519181203317702,-53.052784550245704,35,0,0
10,mut3_2,33.806936187010514,0.4999999999999716,36.65324540494951,1.0583619083920737,35,48.588235294100194,365.0267389202398,-33.260768533084075,580.0228930522942,9.015330050659134,-53.040165850644016,35,0,0
11,mut3_3,35.7672437499015,0.6999999999999602,37.94156333550668,1.6955807403532503,29,58.86071428569322,340.342879686251,-32.96094166129596,520.5731472199897,7.349796511795072,-53.15330269546903,29,0,0
12,mut3_4,35.69346574022643,0.4999999999999716,38.22402683865166,1.1532195285723386,31,55.66333333331301,358.2704410233024,-32.36721014796154,556.5509898931547,11.238565585527716,-53.12006648845003,31,0,0
13,mut4_1,31.969095258166774,0.39999999999997726,33.831382142385216,1.2391866232113198,33,51.290624999981766,339.13901319476804,-33.45039246147959,500.2719036729472,5.694190430440139,-53.13590157388408,33,0,0
14,mut4_2,34.509565184432525,0.4999999999999716,36.446691499346755,1.0930969636283498,36,47.625714285696944,368.7556746562457,-32.40174280605787,580.6415387446739,7.809506496353153,-53.0319096198131,36,0,0
15,mut4_3,34.252381756127065,0.4999999999999716,37.60489591914779,1.057379926361142,32,53.21612903223899,382.20266461946505,-34.374029210592,590.6729958414793,8.858807667043457,-53.08631495426766,32,0,0
16,mut4_4,34.75391547640384,0.4999999999999716,38.36525701886954,1.078973076059565,28,62.2074074073845,374.08485453014714,-32.85066801143606,613.1585701039174,8.695408538197507,-53.10218286000576,36,0,0
17,mut5_1,31.064143228740214,0.4999999999999716,38.01293374442569,1.0656899587430346,37,46.75833333331606,344.5700753109115,-34.897747421685736,510.54315706100454,6.809896942640721,-53.0008834710225,37,0,0
18,mut5_2,36.38952200226557,0.6999999999999602,38.44855024566878,1.3751607721759416,32,53.26129032256153,350.47279277915777,-33.113622627514665,552.2453898908235,9.528750674140017,-53.110235431171716,32,0,0
19,mut5_3,35.5485932099822,0.4999999999999716,36.733425141991084,1.076369560971774,35,48.799999999982354,377.70977320548445,-32.38538253607378,609.8738665610608,9.604307401432248,-53.048265891234955,35,0,0
20,mut5_4,35.29008057543592,0.4999999999999716,36.60975449186683,1.080447062101113,35,48.53235294115907,379.91462071647925,-33.60925886132671,612.3740692440115,8.336789730497898,-53.03902452649991,35,0,0
21,mut9_1,34.349358480887524,0.4999999999999716,37.659438337541864,1.0750009489015375,36,48.08285714283939,363.2901139993123,-32.912688055971245,579.3667397088055,9.387008036188769,-53.02839499535439,36,0,0
22,mut9_2,34.349358480887524,0.4999999999999716,37.659438337541864,1.0750009489015375,36,48.08285714283939,363.2901139993123,-32.912688055971245,579.3667397088055,9.387008036188769,-53.02839499535439,36,0,0
23,mut9_3,34.349358480887524,0.4999999999999716,37.659438337541864,1.0750009489015375,36,48.08285714283939,363.2901139993123,-32.912688055971245,579.3667397088055,9.387008036188769,-53.02839499535439,36,0,0
24,mut9_4,34.349358480887524,0.4999999999999716,37.659438337541864,1.0750009489015375,36,48.08285714283939,363.2901139993123,-32.912688055971245,579.3667397088055,9.387008036188769,-53.02839499535439,36,0,0
25,mut10_1,35.058457088467264,0.39999999999997726,35.64930208210503,1.0561860100443206,36,47.954285714268075,387.17100834084874,-33.40645801061276,625.0473175240612,9.803473311939639,-53.03515259713691,36,0,0
